date_ymd,duration
2019-10-01,497.34313195928496
2019-10-02,484.6702912571813
2019-10-03,495.7530516993759
2019-10-04,496.1134838699146
2019-10-05,532.5915554318916
2019-10-06,538.7629828660995
2019-10-07,501.1541026691743
2019-10-08,489.89978776624827
2019-10-09,491.5342003450542
2019-10-10,482.65444438189445
2019-10-11,487.78371038847723
2019-10-12,515.8940369364454
2019-10-13,523.8904345329602
2019-10-14,481.7481512028115
2019-10-15,461.9825939425676
2019-10-16,481.4938992030201
2019-10-17,471.83770001411835
2019-10-18,434.0230683186491
2019-10-19,457.9673024364405
2019-10-20,456.46320599278
2019-10-21,456.91747246608577
2019-10-22,458.8918356083418
2019-10-23,454.5362001669591
2019-10-24,455.58445587552507
2019-10-25,465.0491395876521
2019-10-26,498.506974698707
2019-10-27,494.757770854179
2019-10-28,467.44684210036894
2019-10-29,462.73836604227193
2019-10-30,458.00162388652717
2019-10-31,443.51809402418075
