first_visit_date,views,days_since_first_visit,retained_users,total_users_cohort,retention_rate
2019-10-01,c. 11~30,29,695,3285,0.2115677321156773
2019-10-01,c. 11~30,30,717,3285,0.2182648401826484
2019-10-01,d. 31~,0,1381,1381,1.0
2019-10-01,d. 31~,1,729,1381,0.5278783490224475
2019-10-01,d. 31~,2,586,1381,0.42433019551049966
2019-10-01,d. 31~,3,602,1381,0.4359160028964518
2019-10-01,d. 31~,4,526,1381,0.38088341781317886
2019-10-01,d. 31~,5,502,1381,0.36350470673425056
2019-10-01,d. 31~,6,480,1381,0.34757422157856627
2019-10-01,d. 31~,7,473,1381,0.3425054308472122
2019-10-01,d. 31~,8,464,1381,0.33598841419261405
2019-10-01,d. 31~,9,464,1381,0.33598841419261405
2019-10-01,d. 31~,10,455,1381,0.3294713975380159
2019-10-01,d. 31~,11,424,1381,0.30702389572773353
2019-10-01,d. 31~,12,438,1381,0.3171614771904417
2019-10-01,d. 31~,13,442,1381,0.32005792903692976
2019-10-01,d. 31~,14,466,1381,0.33743664011585806
2019-10-01,d. 31~,15,445,1381,0.3222302679217958
2019-10-01,d. 31~,16,426,1381,0.30847212165097754
2019-10-01,d. 31~,17,421,1381,0.30485155684286747
2019-10-01,d. 31~,18,384,1381,0.278059377262853
2019-10-01,d. 31~,19,376,1381,0.2722664735698769
2019-10-01,d. 31~,20,350,1381,0.25343953656770457
2019-10-01,d. 31~,21,354,1381,0.25633598841419264
2019-10-01,d. 31~,22,352,1381,0.2548877624909486
2019-10-01,d. 31~,23,331,1381,0.23968139029688632
2019-10-01,d. 31~,24,380,1381,0.27516292541636495
2019-10-01,d. 31~,25,311,1381,0.22519913106444606
2019-10-01,d. 31~,26,323,1381,0.2338884866039102
2019-10-01,d. 31~,27,342,1381,0.24764663287472846
2019-10-01,d. 31~,28,339,1381,0.24547429398986242
2019-10-01,d. 31~,29,337,1381,0.2440260680666184
2019-10-01,d. 31~,30,319,1381,0.23099203475742217
2019-10-02,a. 0~5,0,4059,4059,1.0
2019-10-02,a. 0~5,1,998,4059,0.24587336782458732
2019-10-02,a. 0~5,2,1177,4059,0.2899728997289973
2019-10-02,a. 0~5,3,998,4059,0.24587336782458732
2019-10-02,a. 0~5,4,986,4059,0.2429169746242917
2019-10-02,a. 0~5,5,957,4059,0.23577235772357724
2019-10-02,a. 0~5,6,992,4059,0.24439517122443952
2019-10-02,a. 0~5,7,1007,4059,0.24809066272480906
2019-10-02,a. 0~5,8,968,4059,0.23848238482384823
2019-10-02,a. 0~5,9,1093,4059,0.26927814732692784
2019-10-02,a. 0~5,10,988,4059,0.24340970682434096
2019-10-02,a. 0~5,11,1062,4059,0.2616407982261641
2019-10-02,a. 0~5,12,1069,4059,0.26336536092633656
2019-10-02,a. 0~5,13,1021,4059,0.251539788125154
2019-10-02,a. 0~5,14,999,4059,0.24611973392461198
2019-10-02,a. 0~5,15,948,4059,0.2335550628233555
2019-10-02,a. 0~5,16,997,4059,0.2456270017245627
2019-10-02,a. 0~5,17,902,4059,0.2222222222222222
2019-10-02,a. 0~5,18,922,4059,0.22714954422271497
2019-10-02,a. 0~5,19,880,4059,0.21680216802168023
2019-10-02,a. 0~5,20,862,4059,0.21236757822123675
2019-10-02,a. 0~5,21,859,4059,0.21162847992116285
2019-10-02,a. 0~5,22,788,4059,0.19413648681941365
2019-10-02,a. 0~5,23,881,4059,0.21704853412170486
2019-10-02,a. 0~5,24,783,4059,0.19290465631929046
2019-10-02,a. 0~5,25,773,4059,0.1904409953190441
2019-10-02,a. 0~5,26,811,4059,0.19980290711998028
2019-10-02,a. 0~5,27,747,4059,0.18403547671840353
2019-10-02,a. 0~5,28,707,4059,0.17418083271741808
2019-10-02,a. 0~5,29,717,4059,0.17664449371766444
2019-10-02,b. 6~10,0,1587,1587,1.0
2019-10-02,b. 6~10,1,433,1587,0.27284183994959044
2019-10-02,b. 6~10,2,505,1587,0.3182104599873976
2019-10-02,b. 6~10,3,398,1587,0.25078764965343414
2019-10-02,b. 6~10,4,352,1587,0.22180214240705734
2019-10-02,b. 6~10,5,370,1587,0.23314429741650913
2019-10-02,b. 6~10,6,376,1587,0.23692501575299307
2019-10-02,b. 6~10,7,408,1587,0.2570888468809074
2019-10-02,b. 6~10,8,367,1587,0.23125393824826718
2019-10-02,b. 6~10,9,410,1587,0.258349086326402
2019-10-02,b. 6~10,10,388,1587,0.24448645242596093
2019-10-02,b. 6~10,11,394,1587,0.24826717076244487
2019-10-02,b. 6~10,12,404,1587,0.2545683679899181
2019-10-02,b. 6~10,13,412,1587,0.25960932577189666
2019-10-02,b. 6~10,14,368,1587,0.2318840579710145
2019-10-02,b. 6~10,15,348,1587,0.21928166351606806
2019-10-02,b. 6~10,16,417,1587,0.2627599243856333
2019-10-02,b. 6~10,17,356,1587,0.22432262129804661
2019-10-02,b. 6~10,18,352,1587,0.22180214240705734
2019-10-02,b. 6~10,19,334,1587,0.21045998739760555
2019-10-02,b. 6~10,20,326,1587,0.20541902961562697
2019-10-02,b. 6~10,21,313,1587,0.19722747321991177
2019-10-02,b. 6~10,22,319,1587,0.2010081915563957
2019-10-02,b. 6~10,23,341,1587,0.2148708254568368
